Rk,G,Date,TEAM,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
6,6,43038,TOR,@,POR,W,111,100.8,39.6,87.8,0.4508,10.2,34.6,0.2978,21.6,25.6,0.8412,10.4,43.2,24.6,9.6,5.6,14.4,23.6
6,6,43036,BOS,@,MIA,W,101.4,96,36,83.2,0.4342,10.8,29.6,0.3676,18.6,25.4,0.7302,9,46,22,9,4.4,13.6,22.6
6,6,43036,PHI,@,DAL,W,113.597198,106.74736,42.85182,88.384556,0.485890048,13.610514,31.67756,0.428502712,14.283044,20.42887,0.701306618,10.74154,48.938496,29.08946,8.978196,4.70043,17.192684,25.573782
6,6,43038,NYK,,DEN,W,100.2,101.4,38.2,86.4,0.4414,7.6,24.2,0.2878,16.2,22.6,0.7056,12.8,45.8,21,7.6,4,15.2,21.2
6,6,43035,BRK,@,NYK,L,121.2,119.4,42.4,92.4,0.4594,12,33,0.3648,24.4,31.2,0.7784,12.6,45.8,22.8,10.2,4.6,16.6,23.6
6,6,43038,MIA,,MIN,L,103,106,39.8,86.4,0.461,10.4,31.6,0.3258,13,16.6,0.777,7.4,40.4,21.6,7.2,6.4,14.8,21.2
6,6,43037,WAS,@,SAC,W,112,110.4,40.2,89.6,0.452,8.4,25.6,0.3224,23.2,29.2,0.7852,10.4,42.6,24,10.2,6.2,13.4,20.4
6,6,43037,CHO,,ORL,W,99.2,99.6,34,81.2,0.4188,10.2,30.4,0.3346,21,29.8,0.711,9.2,49.2,16.6,4.6,4.4,15,16.8
6,6,43037,ORL,@,CHO,L,118,107.2,43.4,87.2,0.4986,12.4,27,0.4476,18.8,23.6,0.7702,8.8,45.8,24.4,8.2,6,15.2,24
6,6,43035,ATL,,DEN,L,98.2,106.2,36.8,88,0.4198,8.2,24,0.3594,16.4,19.2,0.8396,9.8,43.4,19.2,9.4,3.6,14.4,22.4
6,6,43036,POR,,PHO,W,110.8,96.4,38.4,88.6,0.4322,11.6,26.2,0.4494,22.4,27,0.8238,14.6,51.4,19,7,6,13.6,23.2
6,6,43036,OKC,@,CHI,W,107,102,40.6,87.8,0.461,10.2,31.4,0.3266,15.6,21.6,0.7112,11.4,39.8,22.4,10.6,6.8,16.2,23.2
6,6,43036,MIN,,LAL,W,94.2,96.4,36.4,78.2,0.4654,8,25.6,0.3168,13.4,16.6,0.8172,7,40,22.6,9,6.8,18.6,20.4
6,6,43035,UTA,,OKC,W,104.4,113.8,39,84.6,0.4604,8.6,23,0.3748,17.8,23,0.7732,9.4,39,22.2,7.4,3,14.6,16.6
6,6,43037,DEN,@,BRK,W,98.8,100.8,38.4,86.6,0.4466,8.6,26.2,0.324,13.4,18.6,0.7278,12.6,47.4,23.2,6,2.4,16.6,18.8
6,6,43036,CLE,@,NOP,L,107.4,106.8,39.4,82.8,0.4768,10.2,29.2,0.3388,18.4,23.4,0.8016,9.2,44.8,21.6,5,4.8,16,16.2
6,6,43037,IND,,SAS,W,114,115.6,43,88.6,0.4842,8,24.4,0.331,20,26.4,0.7492,11,42.8,21.2,8.6,4.2,14.4,20.8
6,6,43037,MIL,@,ATL,W,102,103.2,38.6,80,0.4828,9,25,0.3644,15.8,20.4,0.769,5.6,37.8,22,7.6,4.2,14.4,21.8
6,6,43036,DET,@,LAC,W,106.4,102,41.8,90.2,0.463,9.8,28.6,0.3444,13,16.6,0.7968,11,41.8,22,8.6,2.2,13.4,24.2
6,6,43040,CHI,@,MIA,L,89.8,102,32.6,84.6,0.3826,10.4,32.4,0.3206,14.2,17.8,0.8044,11.2,47,20.8,5.4,3.8,15.8,17.8
6,6,43035,GSW,,WAS,W,120,113.6,42.8,83.8,0.5116,14.6,34.8,0.427,19.8,23.2,0.8534,8.8,44.6,29.6,7.4,7.8,17,22.8
6,6,43038,LAC,,GSW,L,106.2,92.4,38.6,87.8,0.4418,11.6,30.8,0.3774,17.4,24.4,0.7378,13.4,50.4,20,9.2,4,13.6,21
6,6,43036,LAL,@,UTA,L,106,111.4,41.2,89,0.4628,7,24.4,0.2816,16.6,23.2,0.7214,8.2,46.8,23.4,7.8,5.4,19.2,23.6
6,6,43037,SAC,,WAS,L,98.6,104,38.2,88,0.434,8.4,22,0.3812,13.8,18,0.7588,11,41.8,19.6,7.8,3.4,13,20.2
6,6,43036,PHO,@,POR,L,101.6,117.8,36.8,85,0.4334,8.6,25.8,0.3282,19.4,26,0.7546,9.2,43.8,16.8,7.8,6,18,24.8
6,6,43035,HOU,@,CHO,W,105.8,102.8,37.4,82.8,0.451,11.8,42,0.2824,19.2,23.4,0.8094,9.2,44,22.2,8.8,5.4,14.8,19.6
6,6,43036,NOP,,CLE,W,107.4,110.4,38.8,84.4,0.4576,11,31,0.3486,18.8,25.4,0.7334,10.4,46.6,21.2,7.2,6.2,16.8,24
6,6,43037,SAS,@,IND,L,99.8,97.4,38.2,87.4,0.4408,5.6,18.8,0.2938,17.8,23,0.767,13.8,50,20.6,6.8,7.4,14.4,17.8
